School Name,Site Name,Userid,Latitude,Longitude,Elevation,Measured At,Solar Measured At,Current Temp
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-10 05:00:00,2020-07-10 11:33:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-09 05:00:00,2020-07-09 11:34:00,30.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-08 05:00:00,2020-07-08 11:34:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-06 05:00:00,2020-07-06 11:34:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-05 05:00:00,2020-07-05 11:34:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-04 05:00:00,2020-07-04 11:35:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-03 05:00:00,2020-07-03 11:35:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-02 05:00:00,2020-07-02 11:35:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-07-01 05:00:00,2020-07-01 11:35:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-30 05:00:00,2020-06-30 11:35:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-29 05:00:00,2020-06-29 11:36:00,30.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-28 05:00:00,2020-06-28 11:36:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-27 05:00:00,2020-06-27 11:36:00,31.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-26 05:00:00,2020-06-26 11:36:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-25 05:00:00,2020-06-25 11:37:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-23 05:00:00,2020-06-23 11:37:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-22 05:00:00,2020-06-22 11:37:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-21 05:00:00,2020-06-21 11:38:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-20 05:00:00,2020-06-20 11:38:00,37.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-19 05:00:00,2020-06-19 11:38:00,37.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-18 05:00:00,2020-06-18 11:38:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-17 05:00:00,2020-06-17 11:39:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-16 05:00:00,2020-06-16 11:39:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-15 05:00:00,2020-06-15 11:39:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-14 05:00:00,2020-06-14 11:39:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-13 05:00:00,2020-06-13 11:39:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-12 05:00:00,2020-06-12 11:40:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-11 05:00:00,2020-06-11 11:40:00,31.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-10 05:00:00,2020-06-10 11:40:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-09 05:00:00,2020-06-09 11:40:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-08 05:00:00,2020-06-08 11:41:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-07 05:00:00,2020-06-07 11:41:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-06 05:00:00,2020-06-06 11:41:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-05 05:00:00,2020-06-05 11:41:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-04 05:00:00,2020-06-04 11:41:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-03 05:00:00,2020-06-03 11:42:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-02 05:00:00,2020-06-02 11:42:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-06-01 05:00:00,2020-06-01 11:42:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-31 05:00:00,2020-05-31 11:42:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-30 05:00:00,2020-05-30 11:42:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-28 05:00:00,2020-05-28 11:43:00,32.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-29 05:00:00,2020-05-29 11:43:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-27 05:00:00,2020-05-27 11:43:00,37.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-26 05:00:00,2020-05-26 11:43:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-25 05:00:00,2020-05-25 11:43:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-24 05:00:00,2020-05-24 11:43:00,33.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-23 05:00:00,2020-05-23 11:43:00,35.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-21 05:00:00,2020-05-21 11:44:00,36.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-20 05:00:00,2020-05-20 11:44:00,38.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-19 05:00:00,2020-05-19 11:44:00,31.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-18 05:00:00,2020-05-18 11:44:00,31.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-17 05:00:00,2020-05-17 11:44:00,34.0
Panyawut school,panyawut1,13238221,7.65017,99.99872,16.0,2020-05-16 05:00:00,2020-05-16 11:44:00,33.0
